path,title,artist,year,youtube_url,youtube_id,song_id
audio_corpus\Clásica\beethoven_fur_elise.mp3,Für Elise (Bagatelle No. 25 in A minor),Ludwig van Beethoven,1867,https://www.youtube.com/watch?v=q9bU12gXUyM,q9bU12gXUyM,
audio_corpus\Clásica\mozart_eine_kleine_nachtmusik.mp3,Eine kleine Nachtmusik (Serenade No. 13),Wolfgang A. Mozart,1787,https://www.youtube.com/watch?v=oy2zDJPIgwc,oy2zDJPIgwc,
audio_corpus\Clásica\vivaldi_the_four_seasons.mp3,The Four Seasons – Op. 8 No. 1,Antonio Vivaldi,1723,https://www.youtube.com/watch?v=_GUXuU-v49U,_GUXuU-v49U,
audio_corpus\Clásica\tchaikovsky_el_lago_de_los_cisnes.mp3,El Lago de los Cisnes (Swan Lake),Pyotr I. Tchaikovsky,1876,https://www.youtube.com/watch?v=uiaUvqsud4Y,uiaUvqsud4Y,
audio_corpus\Clásica\chopin_nocturne.mp3,Nocturne Op. 9 No. 2,Frédéric Chopin,1832,https://www.youtube.com/watch?v=p29JUpsOSTE,p29JUpsOSTE,
audio_corpus\Clásica\bach_air_on_the_g_string.mp3,Air on the G String (Suite No. 3 in D major),Johann Sebastian Bach,1730,https://www.youtube.com/watch?v=1PkD47rNkfY,1PkD47rNkfY,
audio_corpus\Clásica\johann_debussy_clair_de_lune.mp3,Clair de Lune (Suite Bergamasque),Claude Debussy,1890,https://www.youtube.com/watch?v=fZrm9h3JRGs,fZrm9h3JRGs,
audio_corpus\Clásica\erik_satie_gymnopedie.mp3,Gymnopédie No. 1,Erik Satie,1888,https://www.youtube.com/watch?v=2WfaotSK3mI,2WfaotSK3mI,
audio_corpus\Clásica\johann_pachelbel_canon_in_d_major.mp3,Canon in D major,Johann Pachelbel,1700,https://www.youtube.com/watch?v=6jSLH9CDPPQ,6jSLH9CDPPQ,
audio_corpus\Clásica\edvard_grieg_in_the_hall_of_the_mountain_king.mp3,In the Hall of the Mountain King (Peer Gynt Suite No. 1),Edvard Grieg,1875,https://www.youtube.com/watch?v=PBsFYKzhk5E,PBsFYKzhk5E,
audio_corpus\Soundtrack\hans_zimmer_time_inception.mp3,Time (Inception),Hans Zimmer,2010,https://www.youtube.com/watch?v=c56t7upa8Bk,c56t7upa8Bk,
audio_corpus\Soundtrack\hans_zimmer_interstellar.mp3,Interstellar Main Theme,Hans Zimmer,2014,https://www.youtube.com/watch?v=HV1CMDhemt0,HV1CMDhemt0,
audio_corpus\Soundtrack\alan_silvestri_avengers_endgame.mp3,The Avengers Endgame Theme,Alan Silvestri,2019,https://www.youtube.com/watch?v=F_mhWxOjxp4,F_mhWxOjxp4,
audio_corpus\Soundtrack\john_williams_star_wars_main_theme.mp3,Star Wars Main Theme,John Williams,1977,https://www.youtube.com/watch?v=_D0ZQPqeJkk,_D0ZQPqeJkk,
audio_corpus\Soundtrack\john_williams_hedwigs_theme_harry_potter.mp3,Hedwig’s Theme (Harry Potter),John Williams,2001,https://www.youtube.com/watch?v=wtHra9tFISY,wtHra9tFISY,
audio_corpus\Soundtrack\hans_zimmer_jack_sparrow.mp3,Pirates of the Caribbean,Hans Zimmer,2003,https://www.youtube.com/watch?v=JZeNYaTmVP4,JZeNYaTmVP4,
audio_corpus\Soundtrack\hans_zimmer_&_lisa_gerrard_now_we_are_free_gladiator.mp3,Now We Are Free (Gladiator),Hans Zimmer & Lisa Gerrard,2000,https://www.youtube.com/watch?v=ghxzLw2wRis,ghxzLw2wRis,
